#mutationProbability0.3						#mutationProbability0.3						#mutationProbability0.3					
#recobminationProbability0.9						#recobminationProbability0.9						#recobminationProbability0.9					
#populationSize5						#populationSize10						#populationSize20					
generation	average	averageStdDev	best	bestStdDev	variance	generation	average	averageStdDev	best	bestStdDev		generation	average	averageStdDev	best	bestStdDev	
34	27691.18	5191.517559	63423.4	185.1829798	34292.736	34	36581.29	3946.114586	64974.1	144.8639396	20985.561	34	38721.94	1385.349571	64872.5	48.22473432	2325.625
35	25635.72	6918.709345	63423.4	185.1829798	34292.736	35	39570.14	7505.305527	64974.1	144.8639396	20985.561	35	40294.835	6039.834908	64872.5	48.22473432	2325.625
36	29569.4	8544.600729	63423.4	185.1829798	34292.736	36	38356.68	5112.871714	64974.1	144.8639396	20985.561	36	44568.445	4187.439062	64872.5	48.22473432	2325.625
37	25683.04	9006.027636	63423.4	185.1829798	34292.736	37	43958.59	5307.759724	64974.1	144.8639396	20985.561	37	36992.33	1054.989586	64872.5	48.22473432	2325.625
38	28887.96	8407.433773	63423.4	185.1829798	34292.736	38	44115.3	4687.03308	64974.1	144.8639396	20985.561	38	37598.29	929.8709083	64872.5	48.22473432	2325.625
39	27402	5006.201764	63423.4	185.1829798	34292.736	39	43385.81	5795.503106	64974.1	144.8639396	20985.561	39	43031.78	2480.00993	64872.5	48.22473432	2325.625
40	34258.96	3557.827999	63423.4	185.1829798	34292.736	40	43549.35	4428.912166	64974.1	144.8639396	20985.561	40	37536.345	210.8148214	64872.5	48.22473432	2325.625
41	33117.04	5822.372979	63423.4	185.1829798	34292.736	41	38417.52	255.7903154	64974.1	144.8639396	20985.561	41	36703.055	5296.532057	64872.5	48.22473432	2325.625
42	24899.24	8888.580644	63423.4	185.1829798	34292.736	42	35178.07	1770.391661	64974.1	144.8639396	20985.561	42	38401.99	1775.062345	64872.5	48.22473432	2325.625
43	22084.92	10188.88392	63423.4	185.1829798	34292.736	43	39375.34	2582.613191	64974.1	144.8639396	20985.561	43	40510.185	1395.19216	64872.5	48.22473432	2325.625
44	21404.72	10694.91159	63423.4	185.1829798	34292.736	44	39118.22	1919.066145	64974.1	144.8639396	20985.561	44	38813.945	1422.346639	64872.5	48.22473432	2325.625
45	18129.84	8443.774668	63423.4	185.1829798	34292.736	45	30145.97	3435.868436	64974.1	144.8639396	20985.561	45	39326.21	4058.701158	64872.5	48.22473432	2325.625
46	25905.94	4341.383482	63423.4	185.1829798	34292.736	46	39865.04	5079.452764	64974.1	144.8639396	20985.561	46	44064.76	2384.65461	64872.5	48.22473432	2325.625
47	34868.92	4556.993898	63423.4	185.1829798	34292.736	47	35338.77	2096.833584	64974.1	144.8639396	20985.561	47	42874.815	403.068654	64923.2	32.19198658	1036.324
48	35265.8	5868.618127	63423.4	185.1829798	34292.736	48	38258.6	847.7433951	64974.1	144.8639396	20985.561	48	38995.94	2269.648896	64923.2	32.19198658	1036.324
49	30703.84	8282.688244	63423.4	185.1829798	34292.736	49	39846.32	6419.49322	64974.1	144.8639396	20985.561	49	44031.015	4778.07031	64974.1	16.09599329	259.081
50	28646.7	6719.618668	63423.4	185.1829798	34292.736	50	42008.18	9194.157859	64974.1	144.8639396	20985.561	50	47088.745	2277.805991	64974.1	16.09599329	259.081
